Rank,Title,URL
1,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren
2,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
3,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
4,Gintama°,https://myanimelist.net/anime/28977/Gintama°
5,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
6,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final
7,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
8,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
9,Gintama',https://myanimelist.net/anime/9969/Gintama
10,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
12,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
13,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
14,Gintama.,https://myanimelist.net/anime/34096/Gintama
15,Gintama,https://myanimelist.net/anime/918/Gintama
16,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story
17,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi
18,Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
19,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
20,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
22,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season
23,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
24,Monster,https://myanimelist.net/anime/19/Monster
25,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
26,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
27,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
28,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
29,Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
30,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
31,The First Slam Dunk,https://myanimelist.net/anime/45649/The_First_Slam_Dunk
32,Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
33,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai
34,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock
35,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
36,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
37,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
38,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
39,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo
40,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
41,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
42,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
43,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
44,Tian Guan Cifu Er,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er
45,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga
46,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop
47,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season
48,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
49,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
50,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
